Nation,Gold,Silver,Bronze,Total
Russia,16,14,23,53
Austria,13,6,8,27
France,12,14,17,43
Ukraine,11,7,5,23
Slovenia,7,6,5,18
Czech Republic,6,10,4,20
Japan,5,8,6,19
Poland,5,4,8,17
China,5,3,1,9
Italy,5,1,2,8
Spain,4,5,0,9
United States,3,7,3,13
South Korea,3,5,1,9
Switzerland,3,1,5,9
Canada,3,1,0,4
Belgium,2,6,0,8
Germany,2,5,8,15
Iran,1,1,2,4
Kazakhstan,0,1,3,4
Venezuela,0,1,0,1
Great Britain,0,0,4,4
Serbia,0,0,2,2
Netherlands,0,0,1,1
